TL,TR,BL,BR
0,195,0,0
0,297,0,0
0,195,0,0
0,87,0,0
0,128,0,0
0,153,0,0
0,177,0,0
0,198,0,0
27,86,0,0
92,128,0,0
178,176,0,0
293,176,0,0
319,43,0,0
337,31,0,0
465,128,0,0
638,149,0,0
657,78,0,0
656,64,0,0
733,178,0,0
839,235,0,0
545,102,0,0
657,209,0,0
578,185,0,0
382,158,0,0
531,261,0,0
240,187,0,0
299,287,0,0
0,195,0,0
162,385,0,0
0,314,0,0
0,374,0,0
141,533,0,0
0,439,0,0
0,539,0,0
0,561,0,0
0,530,0,0
0,523,0,0
0,510,0,0
0,528,0,0
0,597,0,0
0,640,0,0
0,656,0,0
0,645,0,0
0,615,0,0
0,541,0,0
0,575,0,0
0,631,0,0
0,721,0,0
0,665,0,0
0,688,0,0
0,677,0,0
0,706,0,0
0,511,0,0
0,443,23,0
0,511,33,0
0,469,29,0
0,450,69,0
0,511,81,0
0,336,41,0
0,352,50,0
0,230,34,0
0,128,12,0
0,35,0,0
0,38,27,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,10,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,9,0
0,0,0,0
0,0,14,0
0,0,0,0
0,0,0,0
0,0,58,0
0,0,33,0
0,0,55,0
0,0,78,0
0,0,117,0
0,0,161,0
0,0,124,0
0,0,219,0
0,0,287,0
0,0,272,0
0,0,326,0
0,0,242,0
0,0,354,0
0,0,365,0
0,0,594,0
0,0,656,0
0,0,810,0
0,0,778,0
0,0,767,0
0,0,710,0
0,0,626,0
0,0,579,0
0,0,511,0
0,0,549,0
0,0,535,0
0,0,670,0
0,0,899,0
0,0,985,0
0,0,989,0
0,0,837,0
0,0,723,0
0,0,510,0
0,0,323,0
0,0,225,0
0,0,0,0
0,0,0,0
0,0,2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,13,0,0
0,35,0,0
0,21,0,0
0,45,0,0
0,50,0,0
0,73,0,0
0,120,0,0
0,156,0,0
27,180,0,0
105,208,0,0
206,225,0,0
349,219,0,0
479,226,0,0
593,204,0,0
621,176,0,0
608,205,0,0
613,218,0,0
654,271,0,0
539,241,0,0
400,181,0,0
339,240,0,0
265,257,0,0
81,208,0,0
80,276,0,0
0,285,0,0
107,423,0,0
0,400,0,0
36,495,0,0
85,567,0,0
0,497,0,0
0,496,0,0
0,506,0,0
0,546,0,0
0,570,0,0
0,627,0,0
0,698,0,0
0,720,0,0
0,756,0,0
0,767,0,0
0,695,0,0
0,668,0,0
0,694,0,0
0,757,0,0
0,610,0,0
0,685,3,0
0,563,1,0
0,603,48,0
0,445,0,0
0,558,40,0
0,423,0,0
0,524,70,0
0,393,17,0
0,187,0,0
0,111,32,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,12,0
0,0,29,0
0,0,30,0
0,0,42,0
0,0,49,0
0,0,63,0
0,0,113,0
0,0,223,0
0,0,212,0
0,0,144,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,458,0,0
143,1107,122,0
208,897,54,0
268,794,0,0
314,848,110,0
384,913,233,0
399,818,269,0
469,877,375,0
353,662,314,0
326,623,347,0
199,432,313,0
166,396,343,0
193,415,422,0
124,321,389,0
123,348,493,0
110,298,537,0
31,193,534,0
37,197,638,0
0,98,622,0
0,69,665,0
0,0,656,0
0,0,622,0
0,0,623,0
0,0,656,0
0,0,737,0
0,0,849,0
0,0,880,0
0,0,825,0
0,0,767,0
0,0,761,0
0,0,790,0
0,0,814,0
0,0,880,0
0,0,788,0
0,0,795,0
0,0,653,0
0,0,466,0
0,0,320,0
0,0,236,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,564,0,0
0,1041,0,0
68,907,0,0
62,595,0,0
45,413,0,0
9,409,0,0
46,491,0,0
117,623,0,0
192,784,49,0
209,797,90,0
192,740,124,0
149,635,162,0
112,576,191,0
43,421,195,0
51,471,275,0
37,414,257,0
143,602,400,0
219,650,481,0
306,721,550,0
341,722,608,0
307,624,640,0
337,623,725,0
384,649,819,0
353,607,829,0
257,471,784,0
143,336,754,0
0,144,685,0
0,80,713,0
0,0,715,0
0,0,766,0
0,0,790,0
0,0,819,0
0,0,860,0
0,0,755,0
0,0,637,0
0,0,609,0
0,0,607,0
0,0,687,0
0,0,727,0
0,0,638,0
0,0,528,0
0,0,373,0
0,0,189,0
0,0,34,0
0,0,6,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,4,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,848,0,0
207,1171,173,0
300,930,73,0
307,789,48,0
333,848,197,0
223,665,202,0
308,765,295,0
208,602,265,0
330,752,399,0
275,623,400,0
311,643,466,0
345,652,511,0
271,530,506,0
333,592,647,0
336,581,663,0
260,466,679,0
235,427,741,0
281,483,849,0
218,416,847,0
142,327,846,0
55,219,827,0
0,110,809,0
0,0,782,0
0,0,816,0
0,0,919,0
0,0,966,0
0,0,976,0
0,0,847,0
0,0,706,0
0,0,658,0
0,0,575,0
0,0,464,0
0,0,256,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
19,1089,0,0
656,1254,213,0
710,838,0,0
486,479,0,0
114,143,0,0
251,398,0,0
281,332,0,0
357,575,65,0
363,653,160,0
147,288,81,0
77,273,206,0
23,269,262,0
48,300,301,0
155,460,417,0
192,471,490,0
208,492,507,0
295,576,624,0
258,510,640,0
272,496,720,0
243,437,817,0
258,411,912,0
208,309,903,0
97,175,875,0
0,29,859,0
0,0,805,0
0,0,819,0
0,0,793,0
0,0,814,0
0,0,807,0
0,0,665,0
0,0,613,0
0,0,593,0
0,0,526,0
0,0,406,0
0,0,318,0
0,0,127,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
123,702,1058,0
19,302,779,0
76,435,629,0
81,450,601,0
110,489,650,0
134,564,695,0
144,619,693,0
100,576,576,0
50,549,439,0
52,603,388,0
35,629,345,0
0,642,253,0
0,624,96,0
0,643,25,0
0,754,43,0
0,817,45,0
0,834,0,0
0,875,0,0
0,907,0,0
0,880,0,0
0,978,0,0
0,947,0,0
0,912,0,0
0,837,0,7
0,731,0,16
0,466,0,15
0,175,0,13
0,0,0,6
0,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,219,0
369,416,605,0
210,64,389,0
145,0,306,0
162,45,314,0
193,42,319,0
194,81,357,0
200,161,435,0
174,239,502,0
161,295,565,0
182,406,661,0
197,476,686,0
258,560,747,0
285,637,768,0
336,731,814,0
378,793,819,0
375,814,773,0
414,891,736,0
430,954,715,0
323,909,565,0
227,903,447,0
106,882,288,0
0,855,118,0
0,859,0,0
0,851,0,0
0,803,0,0
0,771,0,0
0,672,0,0
0,583,0,0
0,528,0,0
0,393,0,0
0,160,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
564,721,1105,0
272,183,474,0
208,228,414,0
160,208,391,0
156,221,444,0
162,291,544,0
145,350,592,0
133,372,608,0
109,406,627,0
112,486,677,0
145,569,736,0
219,685,800,0
217,734,783,0
215,779,752,0
206,825,720,0
222,887,711,0
201,891,649,0
189,942,603,0
182,976,547,0
87,944,381,0
0,880,152,0
0,807,0,0
0,886,0,0
0,833,0,0
0,834,0,1
0,790,0,16
0,688,0,23
0,448,0,30
0,0,0,19
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
365,759,1173,0
230,304,594,0
117,239,453,0
108,270,439,0
127,285,471,0
174,345,570,0
203,400,610,0
261,496,671,0
296,554,695,0
356,627,743,0
419,720,803,0
556,842,896,0
621,885,876,0
611,895,810,0
634,969,814,0
557,940,720,0
478,946,645,0
294,868,421,0
273,959,415,0
26,879,103,0
0,859,0,0
0,921,0,0
0,782,0,0
0,707,0,0
0,560,0,0
0,414,0,0
0,139,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,193,1261,0
0,482,970,0
0,70,657,0
0,229,573,0
0,102,399,0
0,42,157,0
